location,Kathmandu,Kathmandu,Kathmandu,Kathmandu
lat,27.80793,27.80793,27.80793,27.80793
lon,85.30983,85.30983,85.30983,85.30983
asl,1260.200,1260.200,1260.200,1260.200
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kathmandu Temperature [2 m elevation corrected],Kathmandu Precipitation Total,Kathmandu Wind Speed [10 m],Kathmandu Wind Direction [10 m]
20200409T1500,27.2108,0.0,10.685928,265.71085
20200409T1600,26.3108,0.0,10.925647,268.60284
20200409T1700,24.8508,0.0,8.29698,275.52753
20200409T1800,21.5208,0.0,7.7576847,15.945404
20200409T1900,19.5508,0.0,6.4378467,24.443954
20200409T2000,18.0308,0.0,5.2474713,23.962479
20200409T2100,17.1008,0.0,4.72062,16.389526
20200409T2200,16.7008,0.0,5.1450386,21.250488
20200409T2300,16.2408,0.0,5.2542295,30.465546
20200410T0000,15.6407995,0.0,5.394189,32.905228
20200410T0100,15.050799,0.0,5.4919763,39.09384
20200410T0200,14.540799,0.0,5.2878885,40.914368
20200410T0300,13.9808,0.0,5.466071,43.025055
20200410T0400,13.580799,0.0,5.842608,46.847595
20200410T0500,13.240799,0.0,5.701209,52.594643
20200410T0600,15.770799,0.0,5.8668513,50.527527
20200410T0700,19.9908,0.0,3.6234317,126.027374
20200410T0800,23.5708,0.0,5.089565,132.8789
20200410T0900,26.1408,0.0,6.4433565,150.25511
20200410T1000,27.5508,0.0,5.1725526,168.11134
20200410T1100,28.500801,0.0,3.2408962,189.46233
20200410T1200,28.9908,0.0,3.013972,225.0
20200410T1300,29.1208,0.0,4.912173,257.4712
20200410T1400,28.7008,0.0,7.4592,270.0
20200410T1500,27.6008,0.0,9.623642,274.76364
20200410T1600,26.0408,0.0,10.03165,280.71313
20200410T1700,24.0208,0.0,8.787163,284.03625
20200410T1800,21.3508,0.0,3.4115846,38.659805
20200410T1900,20.7708,0.0,4.4097047,25.016876
20200410T2000,20.0308,0.0,4.802594,19.440033
20200410T2100,18.9808,0.0,4.5288,28.07248
20200410T2200,18.0108,0.0,3.996,36.86989
20200410T2300,17.4608,0.0,4.743117,51.842773
20200411T0000,16.500801,0.0,5.328,53.130096
20200411T0100,15.760798,0.0,5.6637416,48.81407
20200411T0200,15.1407995,0.0,5.4919763,50.906143
20200411T0300,14.610799,0.0,5.328,53.130096
20200411T0400,14.260799,0.0,5.4919763,50.906143
20200411T0500,13.910799,0.0,5.701209,52.594643
20200411T0600,16.5108,0.0,5.842608,46.847595
20200411T0700,20.6608,0.0,2.3976,180.0
20200411T0800,23.830801,0.0,4.270717,176.42366
20200411T0900,26.000801,0.0,4.5288,180.0
20200411T1000,27.0908,0.0,3.996,233.1301
20200411T1100,27.7808,0.0,5.1243067,261.02737
20200411T1200,28.080801,0.0,6.9468617,265.6013
20200411T1300,28.170801,0.0,9.324,270.0
20200411T1400,28.0108,0.0,10.669312,272.8624
20200411T1500,27.4508,0.0,12.01461,273.8141
20200411T1600,26.6508,0.0,11.990959,271.27304
20200411T1700,25.4108,0.0,11.201478,272.72632
20200411T1800,22.420801,0.0,5.433515,11.309921
20200411T1900,21.2708,0.0,5.2542295,30.465546
20200411T2000,20.5308,0.0,3.9333487,28.30075
20200411T2100,19.5908,0.0,3.118132,70.016884
20200411T2200,19.1908,0.0,3.4734309,57.5288
20200411T2300,18.8608,0.0,4.3692846,37.568573
20200412T0000,18.170801,0.0,5.3545737,5.7105865
20200412T0100,17.000801,0.0,5.5625954,16.69925
20200412T0200,15.9808,0.0,5.394189,32.905228
20200412T0300,15.5608,0.0,5.2542295,30.465546
20200412T0400,15.200799,0.0,5.328,36.86989
20200412T0500,14.740799,0.0,5.2744513,44.999985
20200412T0600,17.3508,0.0,3.7862556,50.71057
20200412T0700,21.250801,0.0,3.700947,149.74356
20200412T0800,24.4108,0.0,4.802594,176.82018
20200412T0900,26.5108,0.0,5.651197,225.0
20200412T1000,27.4708,0.0,10.137212,266.9872
20200412T1100,27.9908,0.0,12.2544,270.0
20200412T1200,28.5908,0.0,13.064469,272.3373
20200412T1300,28.9808,0.0,14.058752,279.8193
20200412T1400,28.830801,0.0,13.439344,283.7608
20200412T1500,28.3208,0.0,13.638535,282.4074
20200412T1600,27.4708,0.0,13.226432,279.27258
20200412T1700,26.000801,0.0,12.061772,276.34018
20200412T1800,22.7808,0.0,7.501892,286.50436
20200412T1900,22.3208,0.0,4.9553266,323.74615
20200412T2000,21.6108,0.0,4.2624,360.0
20200412T2100,21.0608,0.0,4.057684,23.198593
20200412T2200,20.2008,0.0,4.743117,38.157227
20200412T2300,19.3408,0.0,5.089565,42.87889
