location,Michigan,Michigan,Michigan,Michigan
lat,47.99986,47.99986,47.99986,47.99986
lon,-97.96875,-97.96875,-97.96875,-97.96875
asl,416.050,416.050,416.050,416.050
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Michigan Temperature [2 m elevation corrected],Michigan Precipitation Total,Michigan Wind Speed [10 m],Michigan Wind Direction [10 m]
20200409T1200,0.011323333,0.0,35.37106,337.87805
20200409T1300,-0.058676675,0.0,33.757202,336.2671
20200409T1400,1.0613234,0.0,32.288296,334.0692
20200409T1500,1.9813232,0.0,30.637161,331.42932
20200409T1600,3.0613232,0.0,29.742699,329.3003
20200409T1700,3.4313233,0.0,28.464937,328.39252
20200409T1800,3.3413234,0.0,26.545258,328.54318
20200409T1900,2.8213232,0.0,23.211987,328.13403
20200409T2000,0.7613233,0.0,13.234477,319.8991
20200409T2100,-1.1686766,0.0,11.029089,307.1467
20200409T2200,-2.0886767,0.0,9.51984,287.92792
20200409T2300,-2.7086768,0.0,9.061517,271.6847
20200410T0000,-1.9886768,0.0,8.411661,259.04596
20200410T0100,-1.8186767,0.0,8.014169,248.55226
20200410T0200,-2.0086768,0.0,8.951199,233.47115
20200410T0300,-1.8586767,0.0,9.9997635,228.2397
20200410T0400,-1.3686767,0.0,10.362241,223.95837
20200410T0500,-1.1686766,0.0,11.504656,222.18445
20200410T0600,-0.93867666,0.0,12.622413,225.8551
20200410T0700,-0.75867665,0.0,13.762855,227.3533
20200410T0800,0.5313233,0.0,15.112185,229.28915
20200410T0900,2.2313232,0.0,18.38932,231.46982
20200410T1000,3.4913232,0.0,20.262169,230.8696
20200410T1100,5.1413236,0.0,20.54046,226.57655
20200410T1200,6.9913235,0.0,19.971117,223.91908
20200410T1300,8.261324,0.0,19.59444,223.8983
20200410T1400,9.281323,0.0,18.897507,229.57391
20200410T1500,10.151323,0.0,17.961761,234.6599
20200410T1600,10.751324,0.0,17.037107,243.03429
20200410T1700,11.081324,0.0,15.923945,252.47443
20200410T1800,11.181323,0.0,15.243108,264.98688
20200410T1900,10.991323,0.0,13.713779,277.8153
20200410T2000,8.841324,0.0,7.1730385,195.0685
20200410T2100,6.8813233,0.0,8.08909,197.24146
20200410T2200,4.0513234,0.0,8.935328,206.56505
20200410T2300,2.1713233,0.0,9.9855585,223.91908
20200411T0000,1.5713234,0.0,10.4475,250.641
20200411T0100,1.0113232,0.0,11.967262,286.8214
20200411T0200,0.15132332,0.0,16.32882,326.30994
20200411T0300,2.1113234,0.0,19.512777,345.77405
20200411T0400,1.0013232,0.0,19.228842,349.62415
20200411T0500,0.33132333,0.0,17.711092,344.29138
20200411T0600,-0.50867665,0.0,16.10123,343.66394
20200411T0700,-1.3986766,0.0,14.537728,346.21838
20200411T0800,0.34132332,0.0,15.298875,352.99875
20200411T0900,1.5113232,0.0,17.824926,350.5377
20200411T1000,2.1613233,0.0,17.832888,346.17136
20200411T1100,3.3913233,0.0,18.04061,343.70596
20200411T1200,4.2213235,0.0,18.708792,340.0169
20200411T1300,4.7713237,0.0,19.490942,338.34402
20200411T1400,4.7113237,0.0,19.837412,337.91284
20200411T1500,5.3413234,0.0,20.08451,338.1986
20200411T1600,5.1413236,0.0,21.077612,339.27444
20200411T1700,4.4613237,0.0,21.06077,341.56506
20200411T1800,3.4913232,0.0,21.005095,344.55368
20200411T1900,2.3913233,0.0,20.806505,346.67548
20200411T2000,0.8313233,0.0,14.058752,350.18073
20200411T2100,0.10132334,0.0,12.0940895,352.40536
20200411T2200,-0.40867668,0.0,11.797039,353.51694
20200411T2300,-1.3186767,0.0,10.738927,352.875
20200412T0000,-2.6186767,0.0,9.885558,345.96375
20200412T0100,-2.7086768,0.0,10.725702,345.61862
20200412T0200,-2.4386768,0.0,12.40692,345.0686
20200412T0300,-2.5686767,0.0,13.832293,344.35776
20200412T0400,-3.0786767,0.0,14.417629,343.90918
20200412T0500,-3.2086768,0.0,15.845761,343.393
20200412T0600,-3.5686767,0.0,17.785067,343.46515
20200412T0700,-3.9886768,0.0,19.394215,344.0546
20200412T0800,-4.0486765,0.0,22.103174,344.62375
20200412T0900,-3.9086766,0.0,23.529318,344.23282
20200412T1000,-3.5786767,0.0,23.934525,343.1786
20200412T1100,-3.0686767,0.0,24.601286,342.34988
20200412T1200,-2.4086766,0.0,25.286959,339.6559
20200412T1300,-1.9186766,0.0,26.16965,337.87366
20200412T1400,-1.5686767,0.0,26.02552,337.10944
20200412T1500,-1.4586766,0.0,25.82294,338.1986
20200412T1600,-1.2886767,0.0,24.982014,338.08514
20200412T1700,-1.0686767,0.0,23.965637,335.71417
20200412T1800,-0.68867666,0.0,22.879402,332.24146
20200412T1900,-1.2886767,0.0,21.477854,330.25513
20200412T2000,-1.7086766,0.0,20.389608,331.09082
20200412T2100,-2.0486767,0.0,20.015486,333.09393
20200412T2200,-2.5086768,0.0,21.76669,338.45905
20200412T2300,-3.4386768,0.0,22.669058,340.0744
